task_id,timestamp,service_type,cpu_demand,ram_demand,duration
59,33,Monitoring,25,310,7
60,33,ImageAnalysis,11,148,9
61,34,ImageAnalysis,18,465,12
62,34,Monitoring,23,420,11
63,35,IrrigationControl,25,143,7
64,35,Monitoring,11,360,11
65,35,Monitoring,20,93,6
66,35,IrrigationControl,26,500,10
67,36,Monitoring,26,105,12
68,36,Monitoring,12,409,12
69,37,Monitoring,17,360,10
70,37,Monitoring,12,278,11
71,38,IrrigationControl,20,197,7
72,38,IrrigationControl,20,186,8
73,38,Monitoring,19,298,8
74,38,ImageAnalysis,12,68,9
75,39,ImageAnalysis,13,101,10
76,39,Monitoring,18,131,8
77,39,ImageAnalysis,17,253,8
78,39,Monitoring,19,377,12
79,50,IrrigationControl,29,217,9
80,50,ImageAnalysis,16,199,9
81,50,ImageAnalysis,35,347,10
82,50,Monitoring,31,171,13
83,51,IrrigationControl,20,322,15
84,51,Monitoring,13,111,14
85,51,IrrigationControl,13,65,13
86,51,IrrigationControl,32,198,10
87,51,IrrigationControl,29,425,14
88,52,Monitoring,34,140,16
89,52,Monitoring,23,362,16
90,52,Monitoring,16,85,12
91,52,Monitoring,13,247,11
92,53,IrrigationControl,23,463,16
93,53,ImageAnalysis,25,381,10
94,53,ImageAnalysis,19,506,10
95,53,ImageAnalysis,17,275,8
96,53,Monitoring,22,464,14
97,54,Monitoring,34,119,14
98,54,ImageAnalysis,27,177,11
99,54,IrrigationControl,26,243,12
100,54,IrrigationControl,19,178,8
101,54,IrrigationControl,24,232,12
102,55,ImageAnalysis,20,243,16
103,55,Monitoring,29,233,8
104,55,Monitoring,20,155,12
105,55,Monitoring,31,286,13
106,56,Monitoring,28,123,14
107,56,ImageAnalysis,18,194,8
108,56,IrrigationControl,12,330,16
109,56,IrrigationControl,35,441,11
110,56,Monitoring,14,404,13
111,56,IrrigationControl,33,498,9
112,57,Monitoring,33,273,13
113,57,Monitoring,21,347,10
114,57,Monitoring,33,258,10
115,57,IrrigationControl,21,271,16
116,57,IrrigationControl,21,210,11
117,57,Monitoring,30,374,13
118,58,Monitoring,33,173,16
119,58,Monitoring,35,150,9
120,58,Monitoring,33,388,13
121,58,Monitoring,19,408,12
122,58,Monitoring,18,139,8
123,58,Monitoring,27,376,9
124,58,Monitoring,32,358,11
125,59,Monitoring,19,139,8
126,59,ImageAnalysis,15,462,14
127,59,Monitoring,34,329,15
128,59,Monitoring,19,498,9
129,59,Monitoring,26,405,16
130,59,ImageAnalysis,31,226,15
131,59,IrrigationControl,35,322,14
132,60,ImageAnalysis,35,505,15
133,60,Monitoring,19,494,12
134,60,IrrigationControl,28,312,11
135,60,Monitoring,14,429,12
136,60,Monitoring,22,227,16
137,60,Monitoring,16,182,14
138,60,IrrigationControl,34,173,9
139,61,Monitoring,29,302,14
140,61,Monitoring,25,263,8
141,61,ImageAnalysis,30,258,15
142,61,Monitoring,23,216,14
143,61,ImageAnalysis,25,339,16
144,61,IrrigationControl,19,313,11
145,61,Monitoring,27,78,14
146,62,IrrigationControl,24,434,10
147,62,IrrigationControl,16,382,16
148,62,Monitoring,24,367,8
149,62,Monitoring,25,133,15
150,62,Monitoring,20,258,13
151,62,Monitoring,22,236,14
152,63,IrrigationControl,25,193,9
153,63,Monitoring,35,340,8
154,63,ImageAnalysis,23,178,9
155,63,IrrigationControl,32,84,8
156,63,ImageAnalysis,18,493,8
157,63,IrrigationControl,19,128,15
158,64,IrrigationControl,18,302,12
159,64,IrrigationControl,17,374,9
160,64,IrrigationControl,17,223,9
161,64,IrrigationControl,21,358,14
162,65,ImageAnalysis,18,102,11
163,65,Monitoring,21,499,9
164,65,IrrigationControl,30,464,8
165,65,Monitoring,25,402,13
166,65,Monitoring,32,238,8
167,65,IrrigationControl,27,118,14
168,65,ImageAnalysis,32,488,15
169,66,Monitoring,35,331,12
170,66,IrrigationControl,29,460,15
171,66,Monitoring,35,367,12
172,66,Monitoring,19,489,9
173,66,Monitoring,26,188,15
174,67,Monitoring,27,499,13
175,67,Monitoring,18,245,12
176,67,Monitoring,31,423,12
177,67,IrrigationControl,28,161,9
178,67,Monitoring,25,314,16
179,67,IrrigationControl,34,307,15
180,67,Monitoring,12,111,12
181,68,Monitoring,19,220,13
182,68,Monitoring,28,240,14
183,68,ImageAnalysis,29,233,13
184,68,IrrigationControl,20,220,12
185,68,Monitoring,35,162,13
186,69,IrrigationControl,34,158,11
187,69,Monitoring,27,205,16
188,69,IrrigationControl,15,490,11
189,69,Monitoring,23,155,12
190,70,IrrigationControl,10,204,5
191,71,IrrigationControl,10,390,8
192,72,ImageAnalysis,17,209,8
193,73,Monitoring,10,90,7
194,73,ImageAnalysis,15,122,5
195,74,Monitoring,17,386,10
196,74,Monitoring,10,479,9
197,75,Monitoring,11,124,9
198,75,IrrigationControl,17,369,9
199,76,IrrigationControl,14,294,8
200,77,ImageAnalysis,14,220,9
201,77,IrrigationControl,17,442,5
202,78,IrrigationControl,12,402,5
203,79,Monitoring,16,102,6
204,90,Monitoring,25,213,6
205,90,Monitoring,19,423,12
206,91,Monitoring,17,199,12
207,91,IrrigationControl,16,281,6
208,91,Monitoring,14,200,12
209,92,Monitoring,15,469,8
210,92,IrrigationControl,19,288,6
211,93,IrrigationControl,22,203,10
212,93,Monitoring,24,105,10
213,93,Monitoring,23,440,8
214,94,Monitoring,12,181,11
215,94,IrrigationControl,10,455,11
216,94,IrrigationControl,11,454,12
217,94,Monitoring,26,397,9
218,95,Monitoring,23,389,12
219,95,Monitoring,12,304,8
220,95,Monitoring,20,407,6
221,96,Monitoring,25,211,11
222,96,ImageAnalysis,11,296,6
223,97,Monitoring,13,459,9
224,97,ImageAnalysis,10,400,12
225,97,Monitoring,23,91,7
226,98,Monitoring,25,384,9
227,98,IrrigationControl,16,200,10
228,98,Monitoring,19,288,11
229,98,Monitoring,10,386,10
230,99,IrrigationControl,19,346,6
231,99,IrrigationControl,12,179,12
