task_id,timestamp,service_type,cpu_demand,ram_demand,duration
59,33,Monitoring,25,310,7
60,33,ImageAnalysis,11,148,9
61,34,ImageAnalysis,18,465,12
62,34,Monitoring,23,420,11
63,35,IrrigationControl,25,143,7
64,35,Monitoring,11,360,11
65,35,Monitoring,20,93,6
66,35,IrrigationControl,26,500,10
67,36,Monitoring,26,105,12
68,36,Monitoring,12,409,12
69,37,Monitoring,17,360,10
70,37,Monitoring,12,278,11
71,38,IrrigationControl,20,197,7
72,38,IrrigationControl,20,186,8
73,38,Monitoring,19,298,8
74,38,ImageAnalysis,12,68,9
75,39,ImageAnalysis,13,101,10
76,39,Monitoring,18,131,8
77,39,ImageAnalysis,17,253,8
78,39,Monitoring,19,377,12
79,50,Monitoring,41,347,12
80,50,ImageAnalysis,18,132,12
81,50,Monitoring,18,444,16
82,50,Monitoring,24,373,11
83,50,IrrigationControl,21,415,12
84,50,Monitoring,23,497,8
85,50,Monitoring,28,488,12
86,50,Monitoring,25,458,10
87,50,IrrigationControl,23,146,15
88,51,IrrigationControl,32,68,9
89,51,Monitoring,43,417,10
90,51,Monitoring,41,253,16
91,51,Monitoring,19,85,12
92,51,Monitoring,44,471,8
93,51,ImageAnalysis,21,413,11
94,51,IrrigationControl,26,463,16
95,51,ImageAnalysis,28,381,10
96,51,ImageAnalysis,22,506,10
97,52,ImageAnalysis,15,155,13
98,52,IrrigationControl,28,474,11
99,52,Monitoring,40,423,9
100,52,Monitoring,16,503,15
101,52,Monitoring,41,299,13
102,52,Monitoring,40,510,11
103,53,Monitoring,21,268,13
104,53,Monitoring,17,459,12
105,53,Monitoring,31,268,16
106,53,Monitoring,15,123,12
107,53,Monitoring,45,199,8
108,53,Monitoring,28,240,13
109,54,IrrigationControl,31,123,14
110,54,ImageAnalysis,21,194,8
111,54,IrrigationControl,15,330,16
112,54,IrrigationControl,45,443,11
113,54,Monitoring,17,404,13
114,54,IrrigationControl,36,498,9
115,54,IrrigationControl,24,323,12
116,54,IrrigationControl,25,270,12
117,55,Monitoring,28,404,14
118,55,IrrigationControl,43,153,12
119,55,Monitoring,41,64,12
120,55,Monitoring,28,466,13
121,55,Monitoring,29,409,11
122,55,Monitoring,40,471,10
123,55,IrrigationControl,24,327,13
124,55,Monitoring,45,448,11
125,55,IrrigationControl,22,476,11
126,56,Monitoring,22,307,9
127,56,Monitoring,43,386,11
128,56,IrrigationControl,27,317,14
129,56,Monitoring,35,416,8
130,56,ImageAnalysis,42,458,9
131,56,IrrigationControl,22,154,16
132,57,Monitoring,22,498,9
133,57,Monitoring,40,301,16
134,57,ImageAnalysis,34,226,15
135,57,IrrigationControl,38,322,14
136,57,IrrigationControl,32,292,10
137,57,IrrigationControl,30,294,12
138,57,IrrigationControl,41,390,12
139,57,IrrigationControl,31,312,11
140,58,Monitoring,37,210,11
141,58,Monitoring,25,340,9
142,58,Monitoring,22,260,10
143,58,IrrigationControl,17,276,14
144,58,Monitoring,29,276,8
145,58,Monitoring,28,263,8
146,58,ImageAnalysis,39,358,14
147,59,Monitoring,26,216,14
148,59,ImageAnalysis,45,491,14
149,59,Monitoring,38,343,11
150,59,Monitoring,23,287,15
151,59,Monitoring,25,406,14
152,59,IrrigationControl,41,303,10
153,59,ImageAnalysis,32,77,14
154,59,IrrigationControl,36,77,9
155,60,Monitoring,29,157,8
156,60,Monitoring,25,172,15
157,60,Monitoring,39,258,12
158,60,IrrigationControl,41,279,12
159,60,IrrigationControl,30,73,16
160,60,Monitoring,45,243,11
161,60,IrrigationControl,39,397,8
162,60,IrrigationControl,45,190,11
163,61,IrrigationControl,22,128,15
164,61,IrrigationControl,33,175,15
165,61,IrrigationControl,39,252,10
166,61,IrrigationControl,45,446,9
167,61,IrrigationControl,20,223,9
168,62,Monitoring,24,358,14
169,62,Monitoring,37,165,9
170,62,IrrigationControl,41,385,11
171,62,Monitoring,39,218,9
172,62,IrrigationControl,33,464,8
173,62,Monitoring,28,402,13
174,62,Monitoring,35,238,8
175,62,IrrigationControl,41,314,9
176,62,Monitoring,26,389,15
177,63,Monitoring,38,331,12
178,63,IrrigationControl,44,339,15
179,63,Monitoring,41,438,12
180,63,Monitoring,22,489,9
181,63,Monitoring,29,188,15
182,63,IrrigationControl,36,258,13
183,64,Monitoring,25,157,15
184,64,Monitoring,40,196,13
185,64,Monitoring,34,423,12
186,64,IrrigationControl,31,161,9
187,64,Monitoring,28,314,16
188,65,IrrigationControl,35,428,15
189,65,Monitoring,15,111,12
190,65,Monitoring,37,188,12
191,65,IrrigationControl,26,306,16
192,65,Monitoring,28,445,16
193,65,Monitoring,37,296,12
194,66,Monitoring,18,433,11
195,66,Monitoring,38,338,10
196,66,Monitoring,38,311,12
197,66,IrrigationControl,39,332,12
198,66,ImageAnalysis,41,163,12
199,66,Monitoring,20,218,8
200,66,IrrigationControl,19,204,8
201,67,IrrigationControl,37,128,15
202,67,Monitoring,15,357,12
203,67,Monitoring,29,238,10
204,67,ImageAnalysis,23,505,15
205,67,Monitoring,17,269,15
206,68,IrrigationControl,36,91,10
207,68,Monitoring,33,219,9
208,68,ImageAnalysis,18,349,14
209,68,IrrigationControl,40,380,11
210,68,IrrigationControl,27,294,15
211,69,ImageAnalysis,28,220,8
212,69,IrrigationControl,38,114,11
213,69,IrrigationControl,23,402,9
214,69,Monitoring,20,346,9
215,69,Monitoring,28,294,15
216,69,Monitoring,22,211,12
217,69,IrrigationControl,29,100,11
218,70,IrrigationControl,18,365,10
219,70,IrrigationControl,11,281,5
220,71,IrrigationControl,12,487,6
221,72,Monitoring,12,368,10
222,73,Monitoring,15,416,7
223,73,IrrigationControl,12,320,9
224,74,Monitoring,17,84,8
225,74,IrrigationControl,17,192,5
226,75,Monitoring,18,492,9
227,76,ImageAnalysis,18,484,7
228,77,IrrigationControl,10,304,9
229,78,ImageAnalysis,10,363,8
230,78,IrrigationControl,15,110,8
231,79,Monitoring,13,407,5
232,79,ImageAnalysis,13,274,10
233,90,Monitoring,22,480,12
234,90,IrrigationControl,24,109,8
235,90,Monitoring,13,459,9
236,91,IrrigationControl,10,400,12
237,91,Monitoring,23,91,7
238,91,Monitoring,25,384,9
239,91,IrrigationControl,16,200,10
240,92,ImageAnalysis,24,421,9
241,92,Monitoring,17,427,7
242,93,IrrigationControl,23,111,7
243,93,ImageAnalysis,13,300,6
244,93,IrrigationControl,14,319,11
245,94,Monitoring,18,276,12
246,94,Monitoring,25,188,9
247,94,IrrigationControl,22,161,10
248,95,IrrigationControl,14,506,6
249,95,Monitoring,23,238,12
250,95,Monitoring,10,208,11
251,95,Monitoring,25,507,7
252,96,Monitoring,21,234,10
253,96,IrrigationControl,22,297,8
254,96,ImageAnalysis,17,356,9
255,97,ImageAnalysis,23,86,8
256,97,IrrigationControl,22,261,11
257,98,ImageAnalysis,25,82,7
258,98,Monitoring,20,509,6
259,98,ImageAnalysis,24,115,10
260,98,ImageAnalysis,10,433,7
261,99,ImageAnalysis,14,102,9
262,99,IrrigationControl,18,237,10
263,99,IrrigationControl,12,500,8
