TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t181,176.0,181,80,574,40,86,n14
t182,177.0,182,69,158,10,43,n14
t183,177.0,183,21,321,30,22,n47
t184,182.0,184,17,256,40,100,n48
t185,183.0,185,42,325,10,21,n33
t186,183.0,186,29,771,10,81,n43
t187,185.0,187,27,986,40,82,n2
t188,185.0,188,64,299,30,52,n4
t189,185.0,189,30,647,10,60,n24
t190,187.0,190,81,375,20,30,n4
t191,187.0,191,68,236,20,31,n27
t192,188.0,192,56,135,10,76,n16
t193,191.0,193,73,568,20,22,n3
t194,192.0,194,37,766,10,84,n26
t195,193.0,195,82,232,30,25,n6
t196,194.0,196,32,944,10,21,n8
t197,194.0,197,42,859,20,60,n46
t198,197.0,198,14,767,40,21,n42
t199,198.0,199,44,211,20,24,n17
t200,198.0,200,24,173,30,84,n46
t201,198.0,201,32,973,20,70,n48
t202,199.0,202,75,433,10,22,n24
t203,199.0,203,68,517,40,61,n27
t204,200.0,204,18,587,40,50,n45
t205,202.0,205,75,223,20,26,n12
t206,203.0,206,49,865,40,94,n31
t207,204.0,207,91,484,10,83,n23
t208,206.0,208,96,379,40,35,n47
t209,207.0,209,70,115,10,25,n10
t210,208.0,210,18,706,30,59,n19
t211,208.0,211,61,359,30,36,n32
t212,209.0,212,51,367,40,93,n2
t213,209.0,213,67,216,10,61,n17
t214,209.0,214,68,977,20,24,n27
t215,213.0,215,31,846,40,96,n25
t216,214.0,216,49,655,20,73,n29
t217,215.0,217,65,446,30,39,n26
t218,217.0,218,83,367,10,56,n2
t219,219.0,219,36,499,10,67,n10
t220,220.0,220,70,575,40,58,n37
t221,221.0,221,12,141,30,91,n24
t222,221.0,222,36,655,30,28,n48
t223,222.0,223,28,495,30,25,n0
t224,223.0,224,14,420,20,24,n41
t225,225.0,225,64,181,10,20,n1
t226,225.0,226,97,173,10,88,n14
t227,225.0,227,60,988,10,72,n22
t228,225.0,228,43,145,20,39,n39
t229,226.0,229,88,623,30,51,n47
t230,227.0,230,66,872,10,85,n39
t231,228.0,231,41,779,30,25,n47
t232,230.0,232,19,264,10,36,n11
t233,231.0,233,68,338,30,85,n2
t234,231.0,234,15,707,40,32,n15
t235,232.0,235,13,939,30,27,n4
t236,232.0,236,66,764,40,25,n9
t237,232.0,237,81,525,20,46,n21
t238,232.0,238,28,238,40,26,n29
t239,232.0,239,96,343,40,91,n37
t240,232.0,240,90,122,40,80,n47
t241,233.0,241,91,417,30,44,n38
t242,234.0,242,73,826,30,84,n29
t243,235.0,243,75,770,10,94,n39
t244,236.0,244,83,299,10,60,n28
t245,237.0,245,72,523,10,68,n28
t246,238.0,246,63,684,20,93,n20
t247,241.0,247,80,207,30,22,n25
t248,241.0,248,10,484,30,60,n34
t249,243.0,249,51,901,10,76,n30
t250,244.0,250,71,673,10,21,n23
t251,244.0,251,93,697,40,88,n29
t252,247.0,252,60,709,40,70,n35
t253,251.0,253,17,639,10,97,n43
t254,253.0,254,99,869,20,58,n1
t255,254.0,255,50,206,20,41,n5
t256,255.0,256,85,541,10,87,n2
t257,256.0,257,57,564,20,97,n6
t258,257.0,258,64,820,20,20,n47
t259,258.0,259,10,592,10,60,n43
t260,261.0,260,84,236,10,62,n12
t261,261.0,261,14,843,10,58,n19
t262,262.0,262,81,831,10,82,n4
t263,262.0,263,38,287,30,44,n16
t264,262.0,264,62,125,10,33,n47
t265,264.0,265,49,451,40,76,n3
t266,264.0,266,28,285,30,30,n24
t267,265.0,267,93,148,20,75,n3
t268,265.0,268,61,466,40,69,n18
t269,266.0,269,66,645,10,45,n21
t270,266.0,270,73,775,30,51,n27
t271,266.0,271,18,211,10,47,n28
t272,267.0,272,96,412,10,30,n0
t273,267.0,273,75,454,30,41,n4
t274,268.0,274,91,960,10,55,n20
t275,269.0,275,97,604,40,77,n33
t276,269.0,276,45,588,30,26,n40
t277,269.0,277,65,798,30,59,n48
t278,271.0,278,65,269,10,63,n18
t279,279.0,279,31,731,30,70,n1
t280,280.0,280,89,538,40,59,n2
t281,280.0,281,90,930,10,46,n34
t282,280.0,282,70,437,40,59,n39
t283,281.0,283,52,333,20,38,n13
t284,281.0,284,63,614,30,59,n47
t285,282.0,285,90,821,20,33,n3
t286,289.0,286,29,114,40,95,n36
t287,293.0,287,25,206,20,25,n19
t288,295.0,288,93,619,30,22,n41
t289,297.0,289,82,611,30,21,n21
t290,297.0,290,52,284,10,39,n41
t291,298.0,291,32,318,20,58,n7
t292,299.0,292,19,608,10,86,n16
t293,301.0,293,97,764,10,61,n14
t294,301.0,294,69,780,20,64,n31
t295,301.0,295,94,461,40,36,n43
t296,302.0,296,31,309,10,79,n24
t297,303.0,297,28,531,20,69,n6
t298,304.0,298,71,624,30,28,n1
t299,309.0,299,30,131,10,71,n31
t300,310.0,300,48,374,10,25,n17
t301,311.0,301,40,237,20,99,n37
t302,314.0,302,31,854,20,76,n9
t303,316.0,303,37,541,10,40,n34
t304,316.0,304,85,457,20,87,n45
t305,317.0,305,61,821,30,81,n31
t306,317.0,306,93,733,30,59,n37
t307,318.0,307,98,727,10,43,n14
t308,318.0,308,22,779,40,30,n14
t309,318.0,309,20,451,10,98,n28
t310,323.0,310,61,951,30,60,n28
t311,325.0,311,59,918,40,44,n8
t312,325.0,312,86,776,10,92,n36
t313,326.0,313,98,421,20,41,n30
t314,327.0,314,73,536,20,87,n14
t315,327.0,315,21,790,30,36,n38
t316,327.0,316,41,560,20,78,n42
t317,328.0,317,65,768,20,83,n22
t318,330.0,318,18,806,30,30,n44
t319,331.0,319,37,829,30,77,n44
t320,336.0,320,27,123,30,97,n8
t321,336.0,321,25,536,40,99,n18
t322,336.0,322,33,333,10,98,n23
t323,337.0,323,84,350,10,92,n9
t324,338.0,324,50,723,40,78,n18
t325,338.0,325,93,599,10,62,n22
t326,340.0,326,19,965,30,35,n23
t327,342.0,327,77,825,20,44,n37
t328,342.0,328,44,984,30,58,n42
t329,344.0,329,21,349,40,91,n17
t330,344.0,330,97,946,30,89,n37
t331,345.0,331,40,348,20,31,n0
t332,345.0,332,23,100,30,30,n7
t333,346.0,333,48,393,40,99,n44
t334,348.0,334,64,673,20,84,n6
t335,353.0,335,15,991,30,69,n2
t336,354.0,336,27,224,40,37,n25
t337,357.0,337,54,291,30,92,n31
t338,359.0,338,56,180,40,96,n38
t339,359.0,339,100,798,10,78,n40
t340,363.0,340,38,972,20,60,n22
t341,363.0,341,18,872,20,30,n42
t342,364.0,342,48,780,10,38,n11
t343,366.0,343,97,354,30,33,n20
t344,366.0,344,38,491,40,49,n28
t345,366.0,345,32,290,40,90,n46
t346,368.0,346,50,837,10,100,n35
t347,372.0,347,17,901,30,84,n27
t348,373.0,348,84,515,40,36,n41
t349,375.0,349,31,185,30,79,n37
t350,376.0,350,41,466,40,20,n33
t351,376.0,351,17,178,40,39,n43
t352,377.0,352,36,568,40,83,n29
t353,379.0,353,58,869,40,81,n28
t354,383.0,354,43,434,10,88,n14
t355,387.0,355,51,355,10,54,n6
t356,388.0,356,20,980,10,40,n8
t357,388.0,357,23,687,10,50,n41
t358,389.0,358,35,197,10,50,n42
t359,390.0,359,79,270,10,46,n2
t360,390.0,360,70,989,30,36,n15
t361,390.0,361,39,342,30,54,n25
t362,390.0,362,54,448,20,33,n41
t363,392.0,363,50,517,40,23,n33
t364,392.0,364,54,158,30,60,n38
t365,393.0,365,79,323,10,64,n33
t366,394.0,366,97,682,30,84,n20
t367,394.0,367,87,831,10,60,n20
t368,395.0,368,37,927,40,60,n11
t369,395.0,369,17,289,40,21,n17
t370,396.0,370,88,199,30,37,n37
t371,402.0,371,60,966,30,45,n35
t372,403.0,372,20,389,40,43,n28
t373,404.0,373,89,891,30,66,n47
t374,405.0,374,16,118,10,37,n44
t375,406.0,375,51,934,40,68,n5
t376,407.0,376,51,278,20,66,n16
t377,407.0,377,24,920,20,59,n40
t378,408.0,378,76,877,40,50,n13
t379,408.0,379,30,107,40,63,n34
t380,409.0,380,71,833,40,96,n4
t381,409.0,381,94,577,30,25,n17
t382,410.0,382,70,944,40,34,n41
t383,412.0,383,60,361,30,64,n23
t384,414.0,384,30,978,10,46,n18
t385,415.0,385,98,493,30,80,n20
t386,415.0,386,67,630,20,77,n34
t387,416.0,387,89,225,20,58,n26
t388,420.0,388,63,902,10,33,n16
t389,420.0,389,32,893,20,87,n19
t390,420.0,390,69,455,30,76,n33
t391,421.0,391,56,497,10,21,n42
t392,421.0,392,99,240,30,30,n42
t393,421.0,393,67,391,20,38,n43
t394,423.0,394,78,301,30,58,n13
t395,423.0,395,78,480,40,70,n24
t396,424.0,396,81,253,10,36,n21
t397,424.0,397,86,585,30,41,n39
t398,428.0,398,13,113,40,59,n9
t399,428.0,399,89,162,20,96,n38
t400,429.0,400,28,635,20,21,n29
t401,429.0,401,56,209,10,65,n46
t402,430.0,402,91,172,40,49,n26
t403,430.0,403,20,407,40,86,n26
t404,431.0,404,31,524,40,89,n29
t405,432.0,405,89,775,20,50,n10
t406,432.0,406,32,647,20,86,n18
t407,432.0,407,77,869,40,73,n37
t408,433.0,408,86,205,30,93,n47
t409,434.0,409,54,440,40,99,n39
t410,435.0,410,45,763,20,74,n15
t411,435.0,411,61,839,40,28,n28
t412,436.0,412,58,803,10,51,n43
t413,437.0,413,80,986,10,74,n8
t414,438.0,414,12,885,30,83,n31
t415,441.0,415,27,603,40,100,n9
t416,442.0,416,17,322,20,65,n9
t417,442.0,417,15,456,40,36,n35
t418,442.0,418,67,598,30,83,n47
t419,445.0,419,73,523,40,74,n14
t420,445.0,420,64,932,20,34,n48
t421,446.0,421,87,578,10,51,n24
t422,446.0,422,28,157,40,92,n25
t423,446.0,423,77,946,40,66,n47
t424,448.0,424,75,422,10,46,n36
t425,449.0,425,79,277,40,90,n29
t426,449.0,426,76,399,30,44,n43
t427,451.0,427,92,785,30,96,n46
t428,452.0,428,100,752,20,28,n2
t429,452.0,429,87,861,20,47,n29
t430,455.0,430,73,612,30,28,n23
t431,455.0,431,68,923,20,36,n24
t432,459.0,432,42,521,20,49,n8
t433,459.0,433,44,709,10,77,n12
t434,462.0,434,37,656,30,53,n8
t435,462.0,435,50,533,40,93,n11
t436,462.0,436,14,302,10,100,n11
t437,462.0,437,50,778,30,25,n18
t438,462.0,438,36,621,30,76,n31
t439,462.0,439,53,186,30,45,n34
t440,462.0,440,27,572,20,21,n47
t441,463.0,441,48,227,40,32,n1
t442,463.0,442,47,673,20,34,n29
t443,464.0,443,51,292,40,100,n41
t444,465.0,444,22,533,40,93,n15
t445,465.0,445,21,892,20,41,n34
t446,465.0,446,20,192,30,29,n38
t447,465.0,447,12,625,20,82,n49
t448,467.0,448,63,999,20,45,n26
t449,469.0,449,10,922,20,64,n9
t450,471.0,450,37,699,10,94,n26
t451,471.0,451,75,624,20,92,n49
t452,472.0,452,87,449,10,88,n0
t453,472.0,453,57,325,10,61,n1
t454,472.0,454,21,692,20,87,n38
t455,472.0,455,64,607,30,42,n40
t456,473.0,456,28,353,10,62,n8
t457,473.0,457,31,168,10,37,n29
t458,473.0,458,44,493,40,97,n39
t459,474.0,459,42,790,30,22,n24
t460,480.0,460,81,119,10,71,n6
t461,480.0,461,71,292,20,68,n35
t462,481.0,462,34,537,40,50,n8
t463,481.0,463,52,337,40,79,n45
t464,482.0,464,32,762,10,97,n14
t465,482.0,465,14,850,40,23,n35
t466,484.0,466,74,731,20,81,n42
t467,486.0,467,75,370,40,42,n36
t468,487.0,468,74,300,30,69,n26
t469,489.0,469,47,131,40,41,n45
t470,490.0,470,55,191,20,28,n14
t471,491.0,471,33,491,20,48,n46
t472,492.0,472,41,444,30,78,n2
t473,492.0,473,68,969,10,48,n33
t474,493.0,474,87,887,10,69,n33
t475,493.0,475,21,289,20,52,n45
t476,495.0,476,91,959,40,81,n25
t477,495.0,477,24,722,40,52,n38
t478,496.0,478,82,962,20,24,n32
t479,497.0,479,19,937,20,57,n1
t480,497.0,480,67,826,30,36,n27
t481,499.0,481,51,991,10,56,n3
t482,500.0,482,93,858,30,73,n41
t483,503.0,483,39,322,20,91,n49
t484,504.0,484,18,341,30,82,n21
t485,504.0,485,49,570,30,48,n44
t486,507.0,486,86,619,40,94,n2
t487,509.0,487,80,249,40,33,n45
t488,510.0,488,94,423,20,78,n13
t489,511.0,489,36,886,40,54,n2
t490,511.0,490,43,609,40,94,n13
t491,512.0,491,13,988,20,79,n13
t492,512.0,492,67,833,20,46,n42
t493,513.0,493,23,116,30,73,n2
t494,515.0,494,77,203,30,20,n16
t495,516.0,495,62,314,40,42,n20
t496,517.0,496,29,192,40,56,n36
t497,518.0,497,71,298,30,35,n40
t498,519.0,498,30,752,30,77,n3
t499,519.0,499,10,874,10,95,n29
t500,519.0,500,77,908,20,48,n44
t501,521.0,501,57,464,30,46,n1
t502,521.0,502,68,556,10,81,n37
t503,522.0,503,39,633,30,98,n23
t504,522.0,504,14,319,20,68,n41
t505,524.0,505,46,480,10,64,n21
t506,524.0,506,20,254,30,42,n38
t507,530.0,507,66,121,30,85,n37
t508,531.0,508,52,102,20,87,n34
t509,532.0,509,61,678,40,51,n20
t510,532.0,510,12,140,30,42,n36
t511,533.0,511,39,572,10,64,n16
t512,533.0,512,95,311,20,68,n20
t513,533.0,513,45,761,20,84,n21
t514,535.0,514,68,444,10,51,n7
t515,536.0,515,92,461,40,97,n18
t516,539.0,516,12,378,20,43,n28
t517,541.0,517,11,210,30,54,n9
t518,541.0,518,15,298,40,77,n12
t519,541.0,519,23,496,10,74,n15
t520,541.0,520,69,474,20,31,n36
t521,544.0,521,38,915,30,86,n3
t522,546.0,522,97,351,30,87,n33
t523,547.0,523,39,852,20,60,n6
t524,547.0,524,98,253,20,52,n22
t525,548.0,525,38,215,10,99,n24
t526,549.0,526,99,248,30,29,n3
t527,549.0,527,40,593,10,22,n47
t528,550.0,528,51,980,40,81,n41
t529,552.0,529,18,858,40,98,n17
t530,553.0,530,22,209,10,27,n2
t531,554.0,531,54,240,30,51,n0
t532,554.0,532,88,746,10,86,n16
t533,554.0,533,85,345,20,71,n29
t534,555.0,534,25,753,10,73,n19
t535,555.0,535,31,418,20,86,n22
t536,555.0,536,64,723,30,73,n29
t537,556.0,537,83,383,30,62,n3
t538,556.0,538,39,173,30,37,n46
t539,557.0,539,92,646,20,42,n49
t540,558.0,540,53,664,20,79,n7
t541,561.0,541,79,633,40,48,n13
t542,563.0,542,29,138,10,73,n2
t543,563.0,543,65,392,20,33,n11
t544,563.0,544,30,120,40,78,n42
t545,566.0,545,14,569,20,24,n20
t546,566.0,546,95,991,30,21,n31
t547,567.0,547,78,259,40,88,n17
t548,569.0,548,48,325,40,39,n40
t549,570.0,549,27,983,30,49,n39
t550,571.0,550,71,185,20,34,n14
t551,571.0,551,96,385,40,82,n39
t552,571.0,552,59,334,10,47,n39
t553,572.0,553,65,881,30,30,n14
t554,573.0,554,79,239,30,89,n22
t555,573.0,555,66,432,20,26,n25
t556,574.0,556,97,660,20,47,n3
t557,574.0,557,23,425,30,53,n23
t558,575.0,558,88,280,30,50,n32
t559,576.0,559,98,710,30,51,n1
t560,576.0,560,80,756,30,91,n2
t561,576.0,561,12,894,40,68,n3
t562,576.0,562,15,532,40,53,n26
t563,577.0,563,70,421,30,38,n13
t564,578.0,564,37,959,20,94,n18
t565,579.0,565,32,106,20,63,n9
t566,579.0,566,38,941,30,63,n11
t567,580.0,567,19,404,20,79,n15
t568,580.0,568,33,234,20,80,n40
t569,580.0,569,39,782,30,71,n45
t570,582.0,570,11,583,20,41,n2
t571,582.0,571,70,252,20,33,n32
t572,584.0,572,29,921,30,74,n30
t573,585.0,573,65,355,20,55,n30
t574,587.0,574,71,247,20,32,n31
t575,590.0,575,66,518,10,98,n9
t576,590.0,576,14,770,10,73,n28
t577,591.0,577,42,697,30,64,n42
t578,592.0,578,65,557,20,51,n22
t579,593.0,579,94,278,10,79,n39
t580,594.0,580,19,808,20,31,n40
t581,595.0,581,63,125,30,89,n10
t582,596.0,582,21,354,40,84,n12
t583,597.0,583,62,778,40,20,n1
t584,597.0,584,51,492,20,35,n8
t585,597.0,585,99,712,10,29,n11
t586,600.0,586,80,277,40,40,n25
t587,603.0,587,11,953,30,52,n6
t588,603.0,588,18,537,20,36,n43
t589,604.0,589,47,138,30,67,n36
t590,606.0,590,26,649,40,61,n0
t591,606.0,591,68,617,30,37,n10
t592,606.0,592,15,904,30,80,n12
t593,606.0,593,39,718,40,76,n20
t594,607.0,594,70,107,30,36,n33
t595,608.0,595,86,645,10,75,n25
t596,608.0,596,91,453,20,42,n46
t597,611.0,597,79,444,10,58,n6
t598,611.0,598,14,225,10,46,n16
t599,611.0,599,96,829,30,97,n27
t600,613.0,600,100,101,40,95,n10
t601,613.0,601,60,928,20,53,n35
t602,614.0,602,24,203,40,39,n7
t603,614.0,603,24,988,10,44,n11
t604,616.0,604,79,231,10,54,n24
t605,617.0,605,14,632,30,64,n46
t606,618.0,606,84,209,20,57,n7
t607,618.0,607,89,673,10,27,n47
t608,619.0,608,94,129,30,76,n28
t609,620.0,609,49,352,20,86,n7
t610,621.0,610,37,613,20,21,n31
t611,622.0,611,89,608,10,78,n0
t612,624.0,612,22,878,30,82,n6
t613,624.0,613,76,201,40,89,n36
t614,626.0,614,83,625,30,26,n20
t615,628.0,615,85,408,10,59,n25
t616,628.0,616,26,607,10,95,n48
t617,629.0,617,32,786,10,28,n8
t618,630.0,618,66,249,10,84,n38
t619,632.0,619,59,765,40,27,n40
t620,634.0,620,44,425,20,99,n29
t621,634.0,621,20,627,40,70,n37
t622,637.0,622,23,935,40,51,n22
t623,637.0,623,83,300,10,90,n25
t624,638.0,624,49,800,40,49,n3
t625,638.0,625,75,705,40,48,n20
t626,639.0,626,16,567,10,67,n34
t627,640.0,627,62,605,40,84,n18
t628,641.0,628,98,159,20,63,n44
t629,643.0,629,57,147,20,20,n27
t630,643.0,630,81,994,40,61,n28
t631,645.0,631,83,844,20,94,n9
t632,645.0,632,85,508,40,60,n24
t633,646.0,633,99,912,40,94,n21
t634,646.0,634,70,349,30,97,n27
t635,646.0,635,72,997,20,84,n49
t636,647.0,636,65,284,20,89,n18
t637,647.0,637,49,264,20,92,n33
t638,648.0,638,51,298,20,61,n16
t639,650.0,639,51,692,10,35,n0
t640,650.0,640,58,318,20,79,n27
t641,650.0,641,71,100,10,85,n29
t642,651.0,642,40,169,20,73,n29
t643,652.0,643,74,553,30,52,n39
t644,655.0,644,11,229,10,23,n34
t645,656.0,645,100,644,10,29,n12
t646,658.0,646,87,435,10,42,n21
t647,659.0,647,43,239,40,90,n16
t648,660.0,648,32,205,20,79,n27
t649,661.0,649,55,915,10,49,n27
t650,661.0,650,58,505,40,70,n28
t651,662.0,651,16,211,30,81,n28
t652,662.0,652,30,956,30,95,n34
t653,663.0,653,86,292,20,49,n43
t654,664.0,654,78,412,30,39,n3
t655,664.0,655,32,133,10,50,n17
t656,664.0,656,13,736,30,62,n46
t657,665.0,657,67,524,10,48,n19
t658,665.0,658,66,581,20,32,n28
t659,665.0,659,64,377,20,31,n45
t660,665.0,660,80,957,10,93,n45
t661,666.0,661,24,950,40,44,n3
t662,666.0,662,57,168,30,34,n8
t663,667.0,663,45,718,20,23,n3
t664,668.0,664,71,619,20,28,n23
t665,669.0,665,80,528,40,74,n23
t666,670.0,666,73,532,30,68,n30
t667,672.0,667,38,963,10,22,n44
t668,674.0,668,25,322,10,65,n41
t669,675.0,669,18,790,40,53,n39
t670,676.0,670,43,758,30,100,n2
t671,680.0,671,85,355,10,34,n6
t672,680.0,672,41,328,20,24,n10
t673,680.0,673,70,658,30,64,n34
t674,681.0,674,34,547,30,45,n45
t675,682.0,675,95,764,30,94,n3
t676,682.0,676,71,556,30,63,n11
t677,682.0,677,61,191,20,73,n16
t678,683.0,678,76,397,10,62,n8
t679,684.0,679,26,753,30,49,n23
t680,684.0,680,12,452,10,92,n28
t681,685.0,681,59,666,40,41,n12
t682,688.0,682,24,634,30,32,n48
t683,692.0,683,32,176,30,44,n18
t684,692.0,684,15,653,10,45,n41
t685,693.0,685,39,278,20,37,n21
t686,693.0,686,53,953,40,33,n46
t687,695.0,687,59,546,40,31,n40
t688,695.0,688,32,774,30,31,n43
t689,696.0,689,94,679,10,85,n0
t690,700.0,690,10,104,30,36,n15
t691,709.0,691,47,422,40,31,n12
t692,710.0,692,26,787,40,23,n8
t693,710.0,693,90,357,30,81,n31
t694,711.0,694,30,724,10,85,n45
