TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t239,269.0,239,69,839,10,58,n5
t240,270.0,240,33,382,30,98,n3
t241,270.0,241,28,851,40,20,n8
t242,270.0,242,90,612,20,89,n8
t243,271.0,243,62,877,10,99,n3
t244,271.0,244,75,833,20,86,n4
t245,273.0,245,79,883,20,43,n1
t246,275.0,246,74,362,20,83,n13
t247,275.0,247,21,243,30,91,n15
t248,276.0,248,21,128,30,73,n5
t249,277.0,249,30,888,10,33,n0
t250,278.0,250,27,467,40,44,n9
t251,280.0,251,95,706,10,100,n12
t252,281.0,252,89,445,20,100,n5
t253,282.0,253,92,566,40,49,n19
t254,283.0,254,90,241,10,52,n12
t255,284.0,255,16,173,30,54,n13
t256,288.0,256,43,437,20,38,n8
t257,288.0,257,13,707,30,63,n9
t258,289.0,258,85,685,10,100,n12
t259,291.0,259,72,320,10,27,n22
t260,292.0,260,51,184,40,48,n18
t261,293.0,261,62,743,10,78,n3
t262,293.0,262,62,774,40,40,n8
t263,293.0,263,16,161,40,22,n20
t264,293.0,264,100,247,20,41,n24
t265,295.0,265,85,815,40,74,n16
t266,296.0,266,34,876,20,95,n3
t267,297.0,267,65,323,10,45,n13
t268,298.0,268,35,584,10,22,n5
t269,298.0,269,44,542,30,57,n10
t270,300.0,270,34,413,20,99,n13
t271,301.0,271,21,925,40,55,n13
t272,303.0,272,100,760,10,50,n20
t273,303.0,273,46,171,40,33,n22
t274,303.0,274,66,465,10,72,n22
t275,304.0,275,97,525,30,86,n2
t276,304.0,276,73,831,40,27,n21
t277,304.0,277,16,200,30,87,n23
t278,305.0,278,46,465,20,67,n16
t279,308.0,279,72,889,10,98,n15
t280,310.0,280,14,425,40,99,n2
t281,310.0,281,80,592,10,91,n21
t282,312.0,282,11,225,40,64,n8
t283,314.0,283,29,940,20,59,n2
t284,314.0,284,20,533,30,53,n3
t285,314.0,285,34,408,40,43,n19
t286,315.0,286,35,346,30,81,n9
t287,315.0,287,64,170,30,77,n13
t288,315.0,288,62,486,40,24,n17
t289,317.0,289,52,519,20,23,n11
t290,317.0,290,75,334,20,82,n15
t291,318.0,291,33,369,40,99,n2
t292,318.0,292,85,620,10,64,n11
t293,318.0,293,69,999,10,61,n17
t294,324.0,294,56,903,20,21,n0
t295,324.0,295,58,958,40,67,n6
t296,325.0,296,89,633,40,44,n15
t297,327.0,297,46,752,40,77,n13
t298,329.0,298,93,424,40,45,n22
t299,331.0,299,41,605,10,26,n0
t300,332.0,300,52,394,30,71,n3
t301,333.0,301,51,311,30,61,n2
t302,333.0,302,96,178,40,75,n7
t303,333.0,303,38,374,30,95,n7
t304,333.0,304,98,575,20,55,n16
t305,334.0,305,37,555,30,49,n1
t306,334.0,306,22,542,10,89,n13
t307,334.0,307,64,978,30,43,n15
t308,335.0,308,83,847,10,48,n3
t309,335.0,309,61,963,10,22,n3
t310,335.0,310,85,910,20,73,n22
t311,336.0,311,47,445,20,98,n22
t312,336.0,312,40,104,30,54,n23
t313,337.0,313,37,248,10,93,n3
t314,337.0,314,43,951,20,27,n18
t315,338.0,315,84,279,40,22,n14
t316,338.0,316,73,407,10,76,n20
t317,341.0,317,99,575,20,78,n5
t318,341.0,318,88,111,10,96,n11
t319,341.0,319,23,954,10,45,n16
t320,341.0,320,96,361,20,83,n17
t321,341.0,321,88,923,10,22,n18
t322,343.0,322,86,149,30,67,n0
t323,346.0,323,12,547,40,88,n21
t324,351.0,324,18,821,20,41,n7
t325,351.0,325,14,521,30,24,n17
t326,352.0,326,60,227,20,36,n6
t327,353.0,327,90,795,40,97,n7
t328,353.0,328,50,476,30,24,n18
t329,356.0,329,45,443,10,55,n14
t330,356.0,330,61,334,10,36,n20
t331,357.0,331,41,224,40,43,n3
t332,357.0,332,64,872,20,60,n4
t333,357.0,333,29,456,10,26,n4
t334,357.0,334,15,968,40,35,n24
t335,359.0,335,55,743,20,63,n10
t336,359.0,336,97,638,40,55,n22
t337,361.0,337,20,314,10,36,n15
t338,363.0,338,18,293,10,75,n4
t339,363.0,339,31,580,20,20,n12
t340,364.0,340,80,888,30,24,n7
t341,366.0,341,40,473,40,24,n9
t342,366.0,342,44,958,30,98,n11
t343,366.0,343,61,610,20,92,n23
t344,368.0,344,81,657,30,64,n12
t345,369.0,345,94,264,40,26,n20
t346,371.0,346,21,357,30,78,n10
t347,371.0,347,63,744,40,75,n19
t348,372.0,348,54,684,40,74,n7
t349,372.0,349,17,887,10,81,n10
t350,373.0,350,39,723,20,92,n13
t351,374.0,351,15,883,20,96,n14
t352,375.0,352,32,443,40,25,n1
t353,375.0,353,100,466,20,82,n4
t354,375.0,354,29,450,20,81,n24
t355,376.0,355,38,181,10,99,n8
t356,380.0,356,86,658,30,78,n6
t357,380.0,357,81,469,40,99,n12
t358,380.0,358,54,954,10,34,n12
t359,380.0,359,47,438,30,22,n20
t360,381.0,360,27,294,20,70,n13
t361,382.0,361,50,665,30,50,n16
t362,382.0,362,69,928,30,76,n18
t363,382.0,363,77,676,10,98,n22
t364,383.0,364,82,378,30,83,n0
t365,383.0,365,77,810,10,91,n11
t366,384.0,366,86,374,30,81,n20
t367,386.0,367,17,381,30,89,n18
t368,387.0,368,58,269,30,54,n22
t369,388.0,369,52,591,40,28,n11
t370,388.0,370,21,937,40,89,n11
t371,391.0,371,29,697,10,80,n9
t372,392.0,372,43,849,20,54,n9
t373,392.0,373,46,656,10,76,n20
t374,392.0,374,36,630,20,38,n20
t375,394.0,375,69,680,30,75,n5
t376,395.0,376,63,528,10,44,n23
t377,397.0,377,37,720,20,48,n6
t378,399.0,378,75,664,40,73,n8
t379,401.0,379,26,869,30,50,n19
t380,403.0,380,44,106,10,30,n4
t381,405.0,381,10,916,20,93,n11
t382,405.0,382,61,941,30,49,n19
t383,408.0,383,47,415,30,25,n17
t384,409.0,384,27,697,20,60,n1
t385,409.0,385,29,723,40,95,n11
t386,409.0,386,97,715,30,53,n13
t387,411.0,387,66,227,20,53,n0
t388,411.0,388,98,412,20,68,n3
t389,411.0,389,83,186,30,52,n6
t390,411.0,390,30,104,10,69,n11
t391,412.0,391,59,289,40,45,n18
t392,412.0,392,48,428,10,93,n19
t393,412.0,393,91,631,40,65,n22
t394,414.0,394,22,746,30,99,n9
t395,414.0,395,13,213,10,83,n19
t396,419.0,396,94,447,30,35,n9
t397,419.0,397,83,559,20,36,n13
t398,422.0,398,54,247,20,68,n16
t399,424.0,399,63,548,40,97,n4
t400,424.0,400,27,457,30,43,n9
t401,425.0,401,55,188,30,98,n11
t402,426.0,402,73,478,40,30,n8
t403,427.0,403,79,374,40,44,n13
t404,430.0,404,93,701,40,25,n1
t405,430.0,405,95,995,40,35,n11
t406,431.0,406,34,510,10,98,n21
t407,438.0,407,23,746,30,43,n7
t408,440.0,408,71,846,30,96,n9
t409,441.0,409,75,300,20,49,n2
t410,441.0,410,43,823,40,36,n4
t411,441.0,411,12,157,20,26,n7
t412,441.0,412,97,777,10,61,n14
t413,443.0,413,64,505,30,87,n2
t414,444.0,414,42,952,40,70,n0
t415,444.0,415,77,560,20,55,n1
t416,445.0,416,35,317,40,84,n1
t417,447.0,417,100,152,20,30,n0
t418,447.0,418,79,857,30,41,n9
t419,447.0,419,40,147,20,80,n16
t420,448.0,420,23,525,40,58,n2
t421,448.0,421,55,779,40,97,n11
t422,450.0,422,41,978,40,49,n4
t423,451.0,423,95,466,30,48,n18
t424,452.0,424,89,289,40,39,n14
t425,453.0,425,46,787,20,72,n10
t426,454.0,426,82,895,40,84,n8
t427,456.0,427,68,505,20,84,n14
t428,456.0,428,95,740,20,74,n18
t429,457.0,429,38,721,40,29,n7
t430,458.0,430,69,491,10,94,n9
t431,459.0,431,29,635,30,59,n20
t432,460.0,432,95,704,30,94,n14
t433,462.0,433,56,984,40,41,n1
t434,464.0,434,62,103,30,51,n21
t435,468.0,435,73,841,20,57,n0
t436,468.0,436,22,394,40,44,n1
t437,471.0,437,96,118,30,56,n11
t438,473.0,438,30,284,20,38,n3
t439,475.0,439,54,986,20,73,n2
t440,476.0,440,86,304,10,92,n7
t441,477.0,441,42,504,40,92,n16
t442,477.0,442,50,483,20,21,n17
t443,478.0,443,59,802,10,71,n6
t444,480.0,444,24,108,20,43,n2
t445,480.0,445,36,419,40,21,n6
t446,481.0,446,14,878,10,34,n23
t447,482.0,447,52,540,40,87,n1
t448,483.0,448,23,275,10,97,n7
t449,483.0,449,57,929,10,21,n19
t450,485.0,450,62,609,30,56,n16
t451,487.0,451,10,325,30,67,n16
t452,490.0,452,51,942,30,35,n22
t453,491.0,453,55,271,40,52,n20
t454,492.0,454,51,607,40,66,n20
t455,493.0,455,73,941,30,95,n7
t456,493.0,456,15,652,20,76,n11
t457,493.0,457,55,356,30,85,n18
t458,493.0,458,75,471,40,30,n24
t459,494.0,459,72,224,30,72,n2
t460,494.0,460,62,987,10,51,n22
t461,495.0,461,10,977,40,25,n23
t462,496.0,462,11,794,40,39,n19
t463,498.0,463,41,318,30,73,n18
t464,500.0,464,11,493,40,43,n5
t465,501.0,465,30,677,20,80,n4
t466,501.0,466,98,586,20,58,n22
t467,504.0,467,88,336,40,61,n1
t468,504.0,468,42,493,40,92,n6
t469,504.0,469,42,968,10,77,n10
t470,504.0,470,88,565,20,95,n14
t471,504.0,471,74,487,40,69,n23
t472,505.0,472,77,160,10,83,n0
t473,505.0,473,27,808,20,38,n13
t474,505.0,474,46,640,10,51,n16
t475,506.0,475,56,776,10,49,n10
t476,507.0,476,20,968,30,48,n0
t477,507.0,477,36,705,40,94,n16
t478,508.0,478,32,623,20,92,n17
t479,508.0,479,48,126,30,63,n20
t480,510.0,480,14,869,40,32,n2
t481,510.0,481,82,273,40,85,n3
t482,511.0,482,85,390,10,68,n19
t483,512.0,483,32,558,30,23,n5
t484,515.0,484,38,830,30,22,n4
t485,517.0,485,97,968,30,92,n21
t486,518.0,486,39,654,10,52,n12
t487,519.0,487,88,612,20,90,n0
t488,521.0,488,48,315,10,27,n6
t489,523.0,489,73,642,10,72,n6
t490,523.0,490,27,394,30,65,n6
t491,523.0,491,21,492,30,51,n9
t492,524.0,492,75,215,40,37,n13
t493,525.0,493,85,919,40,21,n0
t494,525.0,494,26,507,20,45,n2
t495,526.0,495,38,295,40,21,n5
t496,526.0,496,44,955,30,34,n10
t497,528.0,497,56,325,20,54,n10
t498,530.0,498,73,906,30,81,n22
t499,531.0,499,54,252,10,73,n22
t500,533.0,500,43,824,40,57,n7
t501,533.0,501,86,221,30,51,n17
t502,534.0,502,57,245,30,29,n12
t503,535.0,503,39,891,20,50,n13
t504,536.0,504,45,419,20,78,n1
t505,536.0,505,92,804,40,24,n5
t506,536.0,506,28,135,30,23,n6
t507,537.0,507,52,477,30,88,n17
t508,537.0,508,59,390,40,54,n22
t509,538.0,509,43,999,30,93,n8
t510,538.0,510,41,474,40,55,n23
t511,544.0,511,36,228,20,35,n19
t512,544.0,512,30,438,30,30,n24
t513,545.0,513,24,104,10,47,n4
t514,545.0,514,47,114,10,97,n9
t515,545.0,515,81,597,30,90,n18
t516,546.0,516,72,790,30,60,n8
t517,547.0,517,75,575,30,99,n15
t518,547.0,518,75,898,20,23,n16
t519,547.0,519,66,970,40,48,n24
t520,550.0,520,82,668,20,91,n18
t521,552.0,521,47,192,30,76,n15
t522,553.0,522,65,461,10,84,n18
t523,556.0,523,99,136,20,96,n24
t524,558.0,524,62,927,10,60,n7
t525,559.0,525,25,231,20,55,n0
t526,559.0,526,94,935,10,84,n20
t527,559.0,527,37,963,20,59,n20
t528,560.0,528,56,865,40,28,n8
t529,560.0,529,70,326,10,98,n14
t530,563.0,530,62,465,20,63,n21
t531,563.0,531,24,332,40,42,n22
t532,564.0,532,93,942,40,74,n22
t533,565.0,533,54,998,40,62,n2
t534,567.0,534,36,218,30,60,n15
t535,568.0,535,28,617,10,93,n21
t536,569.0,536,15,833,10,74,n24
t537,570.0,537,39,347,30,80,n11
t538,571.0,538,30,877,40,47,n22
t539,573.0,539,86,555,40,48,n5
t540,574.0,540,98,915,20,100,n5
t541,575.0,541,66,753,20,67,n15
t542,576.0,542,98,624,30,50,n7
t543,577.0,543,33,732,30,58,n8
t544,577.0,544,92,864,20,45,n20
t545,578.0,545,41,204,10,45,n11
t546,578.0,546,70,483,10,33,n11
t547,580.0,547,36,932,40,59,n5
t548,581.0,548,52,858,40,59,n13
t549,583.0,549,75,885,10,56,n15
t550,584.0,550,48,312,40,27,n15
t551,584.0,551,27,783,30,30,n20
t552,585.0,552,10,517,20,75,n0
t553,585.0,553,39,558,40,42,n23
t554,586.0,554,23,647,30,67,n4
t555,586.0,555,45,611,40,50,n11
t556,586.0,556,55,341,10,31,n21
t557,587.0,557,90,154,20,36,n3
t558,587.0,558,94,653,40,76,n8
t559,588.0,559,75,545,20,92,n7
t560,588.0,560,82,951,20,60,n16
t561,590.0,561,59,955,30,86,n12
t562,594.0,562,67,818,10,63,n1
t563,596.0,563,63,558,10,68,n22
t564,597.0,564,40,909,30,79,n22
t565,598.0,565,49,221,40,66,n23
t566,599.0,566,25,571,40,55,n22
t567,601.0,567,52,559,40,39,n13
t568,601.0,568,42,349,40,49,n14
t569,601.0,569,11,590,30,31,n20
t570,602.0,570,73,183,30,94,n24
t571,604.0,571,16,441,40,60,n11
t572,606.0,572,14,729,30,66,n2
t573,606.0,573,39,600,40,88,n8
t574,607.0,574,39,674,10,45,n16
t575,608.0,575,13,293,40,54,n10
t576,610.0,576,100,696,20,98,n17
t577,610.0,577,55,540,40,34,n22
t578,612.0,578,62,445,30,46,n2
t579,613.0,579,13,480,10,33,n0
t580,613.0,580,97,599,30,83,n8
t581,616.0,581,77,234,10,90,n11
t582,616.0,582,25,630,40,79,n16
t583,617.0,583,72,883,10,40,n2
t584,617.0,584,73,309,10,52,n16
t585,620.0,585,10,311,30,94,n14
t586,622.0,586,59,221,10,24,n20
t587,624.0,587,87,440,10,23,n0
t588,624.0,588,87,162,40,24,n24
t589,627.0,589,41,904,10,72,n19
t590,630.0,590,80,551,20,73,n6
t591,630.0,591,13,213,40,49,n13
t592,633.0,592,92,508,10,75,n6
t593,633.0,593,45,211,30,99,n19
t594,634.0,594,11,651,30,34,n2
t595,637.0,595,98,860,20,78,n21
t596,637.0,596,35,442,30,74,n22
t597,642.0,597,34,273,10,67,n13
t598,643.0,598,99,341,20,21,n16
t599,645.0,599,61,568,10,46,n8
t600,645.0,600,92,109,20,67,n11
t601,645.0,601,46,775,10,45,n15
t602,646.0,602,69,859,10,20,n1
t603,648.0,603,62,908,10,75,n6
t604,650.0,604,25,808,10,28,n0
t605,651.0,605,20,418,40,50,n9
t606,653.0,606,79,455,40,68,n12
t607,654.0,607,91,976,30,39,n3
t608,654.0,608,56,591,40,95,n9
t609,655.0,609,93,234,40,50,n16
t610,657.0,610,73,660,30,70,n4
t611,657.0,611,15,426,40,26,n8
t612,659.0,612,20,724,40,62,n0
t613,662.0,613,77,995,20,38,n22
t614,662.0,614,68,553,40,83,n23
t615,664.0,615,53,798,30,43,n6
t616,665.0,616,91,204,30,84,n3
t617,666.0,617,10,989,30,42,n2
t618,667.0,618,70,533,20,25,n3
t619,668.0,619,66,945,20,52,n4
t620,669.0,620,77,819,20,53,n18
t621,669.0,621,21,655,30,66,n20
t622,671.0,622,42,321,40,46,n5
t623,671.0,623,38,847,30,100,n5
t624,674.0,624,25,245,40,79,n15
t625,674.0,625,75,606,30,57,n18
t626,675.0,626,41,500,10,53,n24
t627,676.0,627,69,362,30,74,n21
t628,677.0,628,28,870,20,53,n6
t629,678.0,629,57,164,20,23,n22
t630,679.0,630,32,792,40,43,n8
t631,679.0,631,76,958,10,67,n21
t632,680.0,632,84,494,40,85,n13
t633,681.0,633,43,177,30,30,n5
t634,682.0,634,57,603,20,80,n15
t635,682.0,635,28,251,40,33,n16
t636,683.0,636,49,141,30,90,n11
t637,684.0,637,85,620,30,75,n20
t638,685.0,638,62,318,30,40,n3
t639,685.0,639,71,623,20,34,n15
t640,686.0,640,86,122,10,71,n11
t641,687.0,641,45,889,20,37,n19
t642,688.0,642,59,792,20,78,n11
t643,689.0,643,20,836,20,68,n3
t644,689.0,644,73,984,10,38,n18
t645,690.0,645,16,698,30,82,n16
t646,691.0,646,11,920,20,77,n0
t647,691.0,647,21,277,30,70,n1
t648,691.0,648,43,607,40,27,n5
t649,691.0,649,79,456,40,59,n22
t650,693.0,650,46,196,30,45,n0
t651,694.0,651,62,283,20,85,n12
t652,694.0,652,75,998,10,79,n24
t653,695.0,653,24,725,20,45,n21
t654,697.0,654,35,881,40,48,n21
t655,698.0,655,45,834,10,25,n3
t656,698.0,656,53,144,40,56,n24
t657,700.0,657,45,894,30,65,n1
t658,701.0,658,52,700,30,94,n1
t659,702.0,659,71,371,20,86,n2
t660,703.0,660,22,881,30,32,n16
t661,705.0,661,84,960,10,98,n6
t662,706.0,662,55,435,40,91,n0
t663,707.0,663,77,157,40,25,n14
t664,707.0,664,11,316,30,71,n17
t665,707.0,665,35,476,40,91,n23
t666,709.0,666,91,466,10,30,n10
t667,710.0,667,90,760,10,55,n2
t668,711.0,668,40,522,30,44,n0
t669,711.0,669,33,428,20,70,n3
t670,713.0,670,68,905,40,77,n2
t671,717.0,671,77,390,30,89,n21
t672,719.0,672,45,546,20,90,n7
t673,719.0,673,52,331,30,78,n8
t674,719.0,674,53,141,20,74,n24
t675,722.0,675,27,716,10,62,n23
t676,723.0,676,44,254,40,92,n24
t677,724.0,677,60,849,30,99,n3
t678,724.0,678,87,432,40,88,n6
t679,725.0,679,75,177,20,92,n1
t680,725.0,680,19,371,40,92,n2
t681,726.0,681,89,821,20,64,n14
t682,728.0,682,68,513,30,92,n19
t683,728.0,683,88,549,40,31,n24
t684,730.0,684,89,541,20,36,n1
t685,731.0,685,82,121,40,49,n17
t686,732.0,686,100,551,10,50,n0
t687,732.0,687,15,902,10,75,n7
t688,732.0,688,18,757,20,64,n8
t689,737.0,689,65,447,20,95,n0
t690,737.0,690,11,902,40,96,n8
t691,738.0,691,93,561,10,31,n0
t692,738.0,692,82,475,40,97,n12
t693,739.0,693,34,431,40,35,n4
t694,740.0,694,95,620,40,57,n10
