TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t176,158.0,176,77,236,40,73,n5
t177,158.0,177,36,326,40,56,n15
t178,159.0,178,39,100,20,43,n4
t179,159.0,179,50,738,40,43,n11
t180,160.0,180,89,210,10,39,n12
t181,163.0,181,19,701,10,47,n2
t182,166.0,182,58,410,10,24,n2
t183,166.0,183,81,336,40,82,n11
t184,167.0,184,97,807,40,79,n9
t185,168.0,185,39,349,30,63,n18
t186,168.0,186,68,151,10,93,n24
t187,169.0,187,21,718,20,91,n29
t188,170.0,188,51,655,20,22,n22
t189,171.0,189,86,983,40,93,n18
t190,172.0,190,26,250,10,78,n2
t191,176.0,191,52,227,20,67,n13
t192,176.0,192,85,770,20,53,n23
t193,177.0,193,41,654,20,85,n21
t194,178.0,194,83,253,20,48,n2
t195,178.0,195,44,987,30,98,n25
t196,178.0,196,53,452,20,56,n29
t197,180.0,197,20,230,30,95,n16
t198,182.0,198,35,304,30,36,n24
t199,184.0,199,57,240,30,79,n12
t200,186.0,200,79,118,20,90,n16
t201,186.0,201,64,188,40,40,n24
t202,187.0,202,51,779,40,35,n6
t203,195.0,203,43,286,40,87,n19
t204,197.0,204,45,684,30,68,n5
t205,197.0,205,89,350,40,43,n21
t206,197.0,206,28,695,40,85,n26
t207,198.0,207,22,734,30,64,n14
t208,198.0,208,98,340,40,65,n25
t209,201.0,209,81,609,10,47,n8
t210,201.0,210,82,981,20,55,n17
t211,201.0,211,30,894,10,84,n27
t212,202.0,212,54,106,30,41,n8
t213,202.0,213,34,957,20,40,n11
t214,205.0,214,22,411,20,67,n24
t215,207.0,215,55,170,20,75,n26
t216,212.0,216,90,817,30,36,n11
t217,213.0,217,30,205,40,68,n10
t218,216.0,218,62,382,20,57,n18
t219,216.0,219,47,367,40,62,n19
t220,216.0,220,57,909,30,77,n21
t221,217.0,221,77,290,30,23,n10
t222,218.0,222,63,454,30,54,n15
t223,219.0,223,77,585,10,39,n29
t224,221.0,224,37,852,30,68,n7
t225,223.0,225,69,428,30,89,n1
t226,224.0,226,100,210,40,22,n13
t227,225.0,227,98,841,20,47,n11
t228,225.0,228,77,555,40,63,n26
t229,226.0,229,83,615,20,39,n29
t230,228.0,230,79,720,20,38,n2
t231,228.0,231,55,364,30,42,n14
t232,229.0,232,62,681,10,96,n1
t233,229.0,233,86,217,10,55,n8
t234,229.0,234,18,570,10,96,n20
t235,230.0,235,83,259,30,39,n16
t236,230.0,236,33,729,40,83,n18
t237,230.0,237,75,349,40,27,n21
t238,231.0,238,94,171,40,62,n3
t239,233.0,239,13,512,40,85,n1
t240,233.0,240,95,254,30,35,n15
t241,233.0,241,77,723,10,56,n20
t242,234.0,242,73,255,30,79,n4
t243,235.0,243,42,558,40,26,n13
t244,237.0,244,26,316,20,61,n6
t245,237.0,245,87,427,20,36,n6
t246,237.0,246,24,156,40,93,n20
t247,237.0,247,49,597,40,46,n27
t248,238.0,248,70,147,30,66,n1
t249,240.0,249,19,591,20,84,n10
t250,241.0,250,17,826,40,42,n13
t251,241.0,251,33,289,40,100,n18
t252,242.0,252,19,996,40,34,n10
t253,242.0,253,35,889,10,48,n29
t254,243.0,254,47,529,20,52,n18
t255,244.0,255,43,813,40,99,n29
t256,245.0,256,83,281,30,96,n3
t257,245.0,257,51,173,10,71,n15
t258,246.0,258,61,376,40,99,n24
t259,247.0,259,33,380,20,59,n20
t260,252.0,260,66,508,20,30,n18
t261,252.0,261,81,649,40,96,n18
t262,255.0,262,60,508,20,50,n13
t263,256.0,263,49,276,30,60,n19
t264,256.0,264,88,865,40,100,n26
t265,257.0,265,42,588,40,91,n6
t266,258.0,266,23,838,40,38,n7
t267,259.0,267,43,145,20,89,n17
t268,260.0,268,51,808,20,51,n6
t269,260.0,269,79,194,30,75,n8
t270,261.0,270,39,266,40,99,n17
t271,262.0,271,26,805,40,40,n5
t272,263.0,272,63,937,40,32,n12
t273,263.0,273,64,869,40,95,n25
t274,266.0,274,97,806,20,20,n26
t275,267.0,275,25,363,10,45,n26
t276,269.0,276,65,802,10,29,n9
t277,269.0,277,86,233,40,100,n20
t278,270.0,278,97,282,20,34,n18
t279,271.0,279,48,425,40,67,n16
t280,272.0,280,10,671,10,86,n5
t281,273.0,281,60,315,20,21,n21
t282,273.0,282,100,197,20,61,n21
t283,274.0,283,44,820,30,98,n29
t284,275.0,284,25,715,20,96,n0
t285,275.0,285,72,386,40,54,n10
t286,275.0,286,66,290,30,62,n14
t287,278.0,287,93,598,10,37,n9
t288,280.0,288,35,882,30,100,n10
t289,280.0,289,56,451,40,29,n18
t290,281.0,290,21,872,20,22,n26
t291,282.0,291,67,765,20,50,n8
t292,282.0,292,37,553,10,80,n14
t293,282.0,293,12,369,10,22,n19
t294,284.0,294,67,133,30,49,n12
t295,285.0,295,78,335,30,69,n6
t296,288.0,296,57,532,30,62,n14
t297,288.0,297,81,785,10,73,n14
t298,289.0,298,92,113,20,40,n26
t299,289.0,299,73,448,30,39,n27
t300,290.0,300,95,334,40,91,n6
t301,290.0,301,78,416,30,57,n8
t302,290.0,302,63,290,30,27,n14
t303,294.0,303,77,110,30,88,n9
t304,297.0,304,87,494,20,31,n26
t305,298.0,305,66,362,20,75,n20
t306,300.0,306,23,419,10,41,n1
t307,301.0,307,28,166,20,53,n1
t308,303.0,308,12,286,30,46,n25
t309,304.0,309,49,341,40,49,n1
t310,304.0,310,46,538,10,68,n27
t311,305.0,311,47,721,20,38,n4
t312,305.0,312,23,580,40,97,n7
t313,305.0,313,52,946,20,80,n8
t314,305.0,314,55,981,20,68,n14
t315,305.0,315,91,174,10,27,n16
t316,306.0,316,91,483,30,30,n14
t317,307.0,317,100,777,30,49,n15
t318,309.0,318,61,460,40,39,n8
t319,311.0,319,14,344,10,31,n4
t320,311.0,320,90,791,20,31,n18
t321,311.0,321,13,519,20,71,n20
t322,313.0,322,59,954,30,67,n0
t323,313.0,323,35,467,10,23,n4
t324,315.0,324,93,241,40,46,n18
t325,316.0,325,91,804,30,30,n5
t326,316.0,326,22,570,40,70,n9
t327,316.0,327,79,934,10,90,n19
t328,316.0,328,56,744,40,35,n29
t329,318.0,329,95,375,40,89,n28
t330,320.0,330,61,133,40,88,n25
t331,321.0,331,55,567,20,58,n1
t332,322.0,332,47,183,10,42,n12
t333,325.0,333,87,882,20,75,n25
t334,326.0,334,37,371,10,33,n12
t335,326.0,335,62,699,10,21,n20
t336,328.0,336,62,723,40,56,n2
t337,328.0,337,75,664,20,76,n23
t338,331.0,338,10,855,40,75,n16
t339,332.0,339,25,536,10,98,n2
t340,333.0,340,77,530,30,95,n0
t341,333.0,341,84,664,20,62,n1
t342,333.0,342,57,160,30,94,n10
t343,334.0,343,14,523,40,28,n5
t344,336.0,344,26,247,30,97,n2
t345,336.0,345,26,452,40,54,n11
t346,336.0,346,75,497,30,78,n20
t347,336.0,347,87,924,20,84,n22
t348,337.0,348,81,842,20,25,n20
t349,338.0,349,93,360,30,98,n11
t350,339.0,350,80,150,40,92,n0
t351,339.0,351,28,166,10,62,n11
t352,343.0,352,14,669,30,36,n6
t353,343.0,353,11,110,20,90,n11
t354,345.0,354,98,161,10,68,n28
t355,346.0,355,43,877,20,83,n2
t356,347.0,356,72,736,10,47,n13
t357,348.0,357,44,651,20,55,n12
t358,348.0,358,44,901,30,45,n20
t359,350.0,359,67,160,30,52,n12
t360,350.0,360,42,832,40,80,n20
t361,350.0,361,85,231,10,70,n22
t362,350.0,362,79,166,40,55,n24
t363,352.0,363,15,684,40,55,n4
t364,352.0,364,92,116,40,41,n24
t365,353.0,365,25,875,30,67,n2
t366,353.0,366,42,440,10,36,n20
t367,353.0,367,56,515,40,85,n25
t368,354.0,368,41,320,40,44,n17
t369,355.0,369,70,228,40,48,n28
t370,356.0,370,79,961,20,64,n0
t371,356.0,371,27,716,20,70,n27
t372,356.0,372,11,114,40,93,n27
t373,356.0,373,20,156,10,61,n27
t374,356.0,374,87,909,30,56,n29
t375,358.0,375,46,551,30,78,n14
t376,358.0,376,20,479,40,47,n29
t377,360.0,377,91,511,20,40,n8
t378,361.0,378,81,598,10,42,n13
t379,363.0,379,82,901,10,96,n17
t380,365.0,380,13,761,20,88,n27
t381,367.0,381,21,847,20,54,n4
t382,368.0,382,59,631,40,28,n2
t383,369.0,383,91,915,20,66,n1
t384,369.0,384,31,937,30,39,n12
t385,369.0,385,73,844,30,54,n29
t386,371.0,386,43,536,20,79,n17
t387,371.0,387,60,732,30,68,n22
t388,371.0,388,69,678,30,44,n25
t389,372.0,389,66,654,40,100,n21
t390,372.0,390,22,195,30,76,n24
t391,372.0,391,25,196,30,44,n29
t392,374.0,392,72,558,30,32,n23
t393,375.0,393,68,404,10,33,n0
t394,375.0,394,99,451,30,74,n22
t395,376.0,395,74,431,30,91,n5
t396,376.0,396,21,788,40,42,n19
t397,376.0,397,69,925,20,51,n27
t398,377.0,398,36,595,40,71,n19
t399,378.0,399,27,542,20,64,n19
t400,380.0,400,37,724,40,57,n2
t401,380.0,401,89,723,20,89,n24
t402,381.0,402,31,755,30,35,n11
t403,382.0,403,72,170,40,93,n17
t404,382.0,404,33,611,30,93,n29
t405,383.0,405,66,222,20,70,n7
t406,383.0,406,80,555,20,21,n11
t407,384.0,407,72,396,20,33,n12
t408,384.0,408,14,261,30,92,n15
t409,384.0,409,10,171,40,75,n24
t410,387.0,410,34,952,10,38,n27
t411,390.0,411,93,969,30,76,n29
t412,392.0,412,30,632,20,65,n23
t413,393.0,413,18,630,10,22,n26
t414,394.0,414,26,192,10,59,n11
t415,396.0,415,68,287,40,89,n21
t416,399.0,416,38,306,10,87,n18
t417,400.0,417,60,521,40,86,n11
t418,400.0,418,18,343,10,94,n14
t419,400.0,419,19,538,30,80,n23
t420,401.0,420,85,181,40,24,n0
t421,401.0,421,82,189,30,71,n3
t422,401.0,422,37,518,40,53,n10
t423,402.0,423,48,144,30,44,n22
t424,403.0,424,62,304,40,37,n16
t425,403.0,425,48,654,10,21,n22
t426,404.0,426,56,864,40,45,n4
t427,404.0,427,51,286,20,65,n9
t428,405.0,428,27,946,30,85,n15
t429,407.0,429,17,410,30,29,n7
t430,407.0,430,47,123,40,33,n7
t431,407.0,431,15,325,10,52,n13
t432,408.0,432,17,337,10,68,n5
t433,409.0,433,41,959,20,20,n10
t434,409.0,434,97,458,20,94,n13
t435,409.0,435,43,962,40,82,n27
t436,411.0,436,43,580,10,56,n3
t437,412.0,437,66,449,20,82,n6
t438,412.0,438,37,451,20,59,n26
t439,413.0,439,45,104,10,63,n21
t440,413.0,440,60,819,30,94,n25
t441,414.0,441,49,724,10,33,n4
t442,416.0,442,32,251,40,58,n10
t443,416.0,443,99,809,40,98,n15
t444,416.0,444,22,983,20,70,n28
t445,418.0,445,44,104,40,90,n2
t446,418.0,446,96,144,40,84,n15
t447,420.0,447,57,998,40,65,n1
t448,420.0,448,52,419,30,89,n25
t449,421.0,449,39,983,20,57,n0
t450,422.0,450,95,623,30,78,n2
t451,423.0,451,18,965,20,85,n14
t452,425.0,452,40,590,40,96,n11
t453,427.0,453,76,715,10,42,n17
t454,429.0,454,10,753,30,90,n8
t455,430.0,455,79,486,30,43,n0
t456,430.0,456,96,463,40,96,n11
t457,433.0,457,93,497,10,99,n23
t458,433.0,458,70,321,10,55,n27
t459,435.0,459,60,492,40,59,n4
t460,435.0,460,55,626,10,22,n9
t461,435.0,461,41,954,10,50,n26
t462,437.0,462,19,678,10,91,n13
t463,437.0,463,17,150,30,89,n26
t464,438.0,464,47,256,30,45,n2
t465,438.0,465,90,166,20,42,n3
t466,438.0,466,99,975,10,44,n3
t467,439.0,467,22,439,30,73,n6
t468,439.0,468,73,370,20,65,n26
t469,440.0,469,95,841,40,29,n13
t470,441.0,470,50,173,20,40,n9
t471,442.0,471,34,932,10,44,n10
t472,442.0,472,87,870,10,40,n17
t473,442.0,473,11,912,30,60,n22
t474,442.0,474,80,965,10,84,n24
t475,444.0,475,66,224,20,100,n16
t476,446.0,476,53,127,10,89,n29
t477,447.0,477,51,858,10,68,n18
t478,447.0,478,69,665,20,72,n19
t479,448.0,479,36,781,30,39,n5
t480,449.0,480,76,817,20,79,n1
t481,450.0,481,61,588,20,20,n6
t482,451.0,482,79,393,20,43,n19
t483,451.0,483,26,495,40,64,n21
t484,452.0,484,13,661,20,56,n11
t485,455.0,485,21,649,10,63,n21
t486,458.0,486,57,571,30,99,n12
t487,459.0,487,18,177,30,71,n14
t488,459.0,488,94,801,40,74,n24
t489,459.0,489,30,195,20,58,n25
t490,460.0,490,12,115,40,70,n9
t491,460.0,491,36,451,40,89,n29
t492,461.0,492,53,443,10,52,n28
t493,462.0,493,97,416,10,35,n28
t494,464.0,494,86,757,30,81,n7
t495,464.0,495,39,776,30,40,n23
t496,465.0,496,60,279,20,71,n19
t497,466.0,497,82,692,30,46,n5
t498,466.0,498,87,119,30,74,n12
t499,466.0,499,14,477,40,66,n19
t500,466.0,500,27,354,40,27,n22
t501,467.0,501,46,358,40,48,n4
t502,467.0,502,38,833,30,23,n19
t503,468.0,503,27,175,30,59,n22
t504,471.0,504,34,136,10,94,n0
t505,473.0,505,10,322,10,88,n28
t506,474.0,506,76,686,10,52,n27
t507,476.0,507,100,163,20,93,n14
t508,477.0,508,74,642,20,31,n14
t509,479.0,509,14,866,20,58,n23
t510,480.0,510,91,153,40,74,n3
t511,484.0,511,82,740,10,46,n2
t512,486.0,512,18,944,40,91,n22
t513,488.0,513,31,258,20,53,n0
t514,489.0,514,39,315,40,68,n11
t515,490.0,515,89,122,40,67,n12
t516,492.0,516,85,228,30,57,n7
t517,493.0,517,71,542,20,44,n22
t518,494.0,518,45,887,20,75,n21
t519,496.0,519,54,656,40,81,n2
t520,497.0,520,55,282,10,36,n21
t521,498.0,521,89,163,20,41,n11
t522,499.0,522,40,292,40,81,n3
t523,499.0,523,24,128,30,45,n10
t524,499.0,524,71,548,40,61,n15
t525,500.0,525,33,367,10,80,n4
t526,502.0,526,15,280,30,26,n0
t527,504.0,527,35,110,40,39,n12
t528,505.0,528,26,894,40,81,n14
t529,507.0,529,27,350,10,50,n23
t530,508.0,530,88,366,40,34,n15
t531,509.0,531,40,570,30,76,n9
t532,509.0,532,79,694,10,55,n20
t533,510.0,533,50,183,10,76,n26
t534,511.0,534,40,131,30,85,n2
t535,512.0,535,53,242,20,85,n5
t536,512.0,536,17,600,10,78,n29
t537,512.0,537,84,594,30,47,n29
t538,513.0,538,15,841,20,69,n23
t539,516.0,539,85,754,10,28,n19
t540,518.0,540,10,766,20,33,n9
t541,520.0,541,94,467,20,50,n3
t542,524.0,542,90,120,40,27,n14
t543,524.0,543,66,424,20,31,n19
t544,525.0,544,82,497,40,98,n21
t545,526.0,545,97,399,40,86,n12
t546,527.0,546,94,739,30,23,n9
t547,528.0,547,94,814,10,94,n10
t548,528.0,548,95,802,40,57,n28
t549,529.0,549,20,279,20,42,n5
t550,530.0,550,50,914,30,59,n3
t551,530.0,551,18,438,10,81,n17
t552,530.0,552,75,894,10,43,n28
t553,531.0,553,27,323,40,91,n0
t554,532.0,554,28,847,10,62,n28
t555,533.0,555,61,456,30,83,n27
t556,534.0,556,72,202,10,56,n9
t557,534.0,557,73,289,40,91,n28
t558,537.0,558,54,989,20,52,n12
t559,537.0,559,49,375,40,43,n23
t560,538.0,560,24,919,10,29,n13
t561,540.0,561,82,243,30,94,n0
t562,542.0,562,37,855,10,76,n12
t563,542.0,563,81,398,20,76,n14
t564,543.0,564,35,366,20,25,n10
t565,544.0,565,88,446,40,81,n6
t566,544.0,566,36,281,30,90,n16
t567,544.0,567,93,963,10,88,n19
t568,545.0,568,43,954,40,41,n6
t569,547.0,569,22,762,40,41,n24
t570,548.0,570,70,851,20,43,n8
t571,549.0,571,81,312,20,82,n24
t572,549.0,572,46,367,40,42,n28
t573,550.0,573,34,168,20,86,n4
t574,551.0,574,56,914,20,82,n4
t575,551.0,575,65,664,20,58,n18
t576,554.0,576,12,591,30,55,n4
t577,554.0,577,29,559,20,88,n5
t578,557.0,578,54,936,10,65,n13
t579,558.0,579,96,567,10,91,n3
t580,558.0,580,37,276,10,93,n6
t581,559.0,581,19,596,40,77,n29
t582,563.0,582,51,186,40,78,n14
t583,563.0,583,95,893,10,58,n18
t584,564.0,584,67,241,40,76,n17
t585,567.0,585,17,740,20,52,n2
t586,567.0,586,97,848,40,61,n24
t587,568.0,587,22,655,30,63,n12
t588,568.0,588,41,614,30,73,n16
t589,568.0,589,38,840,10,84,n23
t590,569.0,590,31,357,20,78,n9
t591,571.0,591,60,439,20,34,n4
t592,571.0,592,85,880,10,41,n21
t593,571.0,593,54,757,40,76,n28
t594,572.0,594,91,235,20,63,n1
t595,572.0,595,33,712,30,21,n3
t596,574.0,596,24,623,10,82,n5
t597,574.0,597,29,322,30,100,n28
t598,575.0,598,99,729,20,70,n14
t599,576.0,599,44,317,40,55,n19
t600,576.0,600,85,311,10,31,n27
t601,579.0,601,78,618,30,90,n0
t602,582.0,602,71,264,40,38,n0
t603,582.0,603,66,398,40,59,n5
t604,582.0,604,45,483,10,98,n27
t605,584.0,605,54,520,10,38,n9
t606,585.0,606,63,118,20,73,n7
t607,585.0,607,39,896,10,63,n19
t608,586.0,608,28,633,40,43,n17
t609,587.0,609,98,110,40,27,n2
t610,588.0,610,59,315,20,64,n25
t611,589.0,611,70,460,30,48,n25
t612,590.0,612,67,536,10,79,n24
t613,590.0,613,41,378,20,88,n26
t614,591.0,614,46,955,40,100,n18
t615,593.0,615,71,686,10,23,n7
t616,594.0,616,71,622,10,61,n1
t617,594.0,617,90,423,10,89,n11
t618,594.0,618,27,148,10,99,n29
t619,595.0,619,80,507,20,84,n1
t620,595.0,620,82,965,20,52,n6
t621,595.0,621,51,622,40,27,n18
t622,596.0,622,27,934,30,76,n15
t623,597.0,623,24,125,20,25,n4
t624,597.0,624,34,208,10,52,n28
t625,598.0,625,14,664,30,91,n7
t626,599.0,626,75,628,40,70,n8
t627,600.0,627,29,622,20,28,n21
t628,601.0,628,27,963,20,58,n12
t629,604.0,629,35,680,30,41,n7
t630,605.0,630,58,639,40,55,n4
t631,605.0,631,86,444,40,54,n16
t632,606.0,632,37,117,10,79,n20
t633,606.0,633,23,652,30,26,n27
t634,608.0,634,28,345,40,45,n11
t635,608.0,635,49,698,30,61,n24
t636,608.0,636,97,480,30,77,n25
t637,610.0,637,99,409,40,30,n26
t638,612.0,638,95,140,20,58,n26
t639,616.0,639,22,891,30,77,n12
t640,617.0,640,58,821,10,64,n0
t641,618.0,641,97,814,20,36,n24
t642,619.0,642,97,112,40,90,n16
t643,620.0,643,46,842,30,68,n7
t644,620.0,644,62,976,40,63,n9
t645,621.0,645,63,821,10,65,n0
t646,622.0,646,25,795,10,27,n23
t647,623.0,647,17,728,10,60,n0
t648,624.0,648,48,467,40,85,n7
t649,626.0,649,33,314,30,86,n24
t650,626.0,650,32,772,40,83,n24
t651,626.0,651,80,1000,40,44,n28
t652,627.0,652,54,584,30,88,n7
t653,629.0,653,29,203,10,61,n9
t654,629.0,654,78,822,10,94,n23
t655,631.0,655,31,681,20,54,n14
t656,632.0,656,60,188,10,65,n6
t657,632.0,657,56,368,30,91,n23
t658,633.0,658,87,693,30,76,n17
t659,635.0,659,68,303,10,78,n5
t660,635.0,660,96,710,40,22,n24
t661,636.0,661,100,894,30,75,n8
t662,637.0,662,71,147,20,56,n16
t663,637.0,663,18,856,40,81,n21
t664,638.0,664,98,235,10,24,n2
t665,638.0,665,98,307,20,40,n4
t666,639.0,666,52,666,40,54,n23
t667,641.0,667,83,783,20,74,n5
t668,641.0,668,98,851,40,25,n20
t669,642.0,669,52,121,20,26,n15
t670,642.0,670,72,800,40,83,n22
t671,643.0,671,16,142,10,49,n8
t672,643.0,672,70,862,40,46,n23
t673,644.0,673,45,328,40,20,n0
t674,646.0,674,78,187,20,57,n22
t675,652.0,675,63,848,10,28,n2
t676,654.0,676,94,425,30,63,n26
t677,655.0,677,82,564,30,63,n16
t678,655.0,678,75,501,20,61,n28
t679,657.0,679,90,828,10,87,n8
t680,658.0,680,63,218,40,82,n11
t681,658.0,681,49,685,20,89,n15
t682,658.0,682,88,473,40,37,n27
t683,659.0,683,89,292,20,33,n24
t684,663.0,684,31,651,20,36,n16
t685,663.0,685,32,133,40,27,n22
t686,663.0,686,29,987,20,33,n29
t687,665.0,687,60,512,10,24,n10
t688,668.0,688,46,836,40,24,n27
t689,669.0,689,29,174,40,64,n14
t690,669.0,690,70,363,10,37,n27
t691,670.0,691,78,814,40,68,n19
t692,672.0,692,44,538,10,57,n24
t693,672.0,693,93,256,20,85,n29
t694,674.0,694,12,416,20,55,n14
